X,Y,Corr,ADF_p,Johansen_trace
AAPL,NVDA,0.8792266409864276,0.2822665354585118,6.890040634894119
AAPL,MSFT,0.9548221273677967,0.5086406745393973,8.23725015809903
MSFT,NVDA,0.9371425268643646,0.5531390247973502,7.371599987769891
