Phase,Start,End,Sharpe,Sortino,Calmar,MaxDD,Commissions,Borrow,N_Trades
TRAIN,1000000.0,909803.2473591835,-0.19891963138550142,-0.0742291917302711,-0.04203927881305265,-0.24020697454952566,51557.966197063004,482.81306039476414,25
TEST,909803.2473591835,912313.5837708199,0.042969592433971325,0.01609664372731769,0.01082979405513733,-0.08202616214085467,26210.71220837182,235.18859073879938,14
VALIDATION,912313.5837708199,857862.2219063502,-0.4283312188872463,-0.13198558709744887,-0.17969783220697963,-0.10913437906681411,5908.182890932715,130.49928082053233,3
