Date,Price
2010-01-04,6.418384075164795
2010-01-05,6.429481506347656
2010-01-06,6.327209949493408
2010-01-07,6.315515041351318
2010-01-08,6.3575005531311035
2010-01-11,6.301418304443359
2010-01-12,6.229739665985107
2010-01-13,6.317612648010254
2010-01-14,6.2810258865356445
2010-01-15,6.17605447769165
2010-01-18,6.17605447769165
2010-01-19,6.449273109436035
2010-01-20,6.350003242492676
2010-01-21,6.240234375
2010-01-22,5.930729389190674
2010-01-25,6.0902814865112305
2010-01-26,6.176356792449951
2010-01-27,6.23453950881958
2010-01-28,5.976914405822754
2010-01-29,5.760079860687256
2010-02-01,5.840156078338623
2010-02-02,5.874044895172119
2010-02-03,5.975114822387695
2010-02-04,5.75977897644043
2010-02-05,5.8620500564575195
2010-02-08,5.82186222076416
2010-02-09,5.883944511413574
2010-02-10,5.851850986480713
2010-02-11,5.958320140838623
2010-02-12,6.0096049308776855
2010-02-15,6.0096049308776855
2010-02-16,6.100177764892578
2010-02-17,6.074686527252197
2010-02-18,6.086083889007568
2010-02-19,6.0482940673828125
2010-02-22,6.010805606842041
2010-02-23,5.910034656524658
2010-02-24,6.018003940582275
2010-02-25,6.058189392089844
2010-02-26,6.136767387390137
2010-03-01,6.267827987670898
2010-03-02,6.263631343841553
2010-03-03,6.278024196624756
2010-03-04,6.319412708282471
2010-03-05,6.566539287567139
2010-03-08,6.570437908172607
2010-03-09,6.688602924346924
2010-03-10,6.743185520172119
2010-03-11,6.762980937957764
2010-03-12,6.795971870422363
2010-03-15,6.713195323944092
2010-03-16,6.731490612030029
2010-03-17,6.721593379974365
2010-03-18,6.737488269805908
2010-03-19,6.665510654449463
2010-03-22,6.740487575531006
2010-03-23,6.848753452301025
2010-03-24,6.879044532775879
2010-03-25,6.7974700927734375
2010-03-26,6.924932479858398
2010-03-29,6.969618320465088
2010-03-30,7.073386192321777
2010-03-31,7.04789400100708
2010-04-01,7.076988220214844
2010-04-02,7.076988220214844
2010-04-05,7.152562618255615
2010-04-06,7.184054851531982
2010-04-07,7.215845584869385
2010-04-08,7.196350574493408
2010-04-09,7.251532554626465
2010-04-12,7.266528606414795
2010-04-13,7.270728588104248
2010-04-14,7.368500709533691
2010-04-15,7.465371608734131
2010-04-16,7.4197869300842285
2010-04-19,7.409887313842773
2010-04-20,7.335510730743408
2010-04-21,7.774279594421387
2010-04-22,7.991708755493164
2010-04-23,8.122472763061523
2010-04-26,8.082587242126465
2010-04-27,7.8588547706604
2010-04-28,7.845655918121338
2010-04-29,8.056794166564941
2010-04-30,7.830364227294922
2010-05-03,7.988112926483154
2010-05-04,7.758082866668701
2010-05-05,7.677405834197998
2010-05-06,7.385295867919922
2010-05-07,7.073687553405762
2010-05-10,7.617425918579102
2010-05-11,7.693305015563965
2010-05-12,7.860350131988525
2010-05-13,7.748483657836914
2010-05-14,7.612323760986328
2010-05-17,7.62432336807251
2010-05-18,7.568541049957275
2010-05-19,7.447975158691406
2010-05-20,7.13067102432251
2010-05-21,7.267430782318115
2010-05-24,7.400588035583496
2010-05-25,7.354401588439941
2010-05-26,7.3211140632629395
2010-05-27,7.598230838775635
2010-05-28,7.704098701477051
2010-05-31,7.704098701477051
2010-06-01,7.822564125061035
2010-06-02,7.9161376953125
2010-06-03,7.891246795654297
2010-06-04,7.676506519317627
2010-06-07,7.525951385498047
2010-06-08,7.477665901184082
2010-06-09,7.293822288513184
2010-06-10,7.513054847717285
2010-06-11,7.603031635284424
2010-06-14,7.626123428344727
2010-06-15,7.788370609283447
2010-06-16,8.015108108520508
2010-06-17,8.15366268157959
2010-06-18,8.219643592834473
2010-06-21,8.102682113647461
2010-06-22,8.213047981262207
2010-06-23,8.126672744750977
2010-06-24,8.06758975982666
2010-06-25,7.9986066818237305
2010-06-28,8.046597480773926
2010-06-29,7.682807445526123
2010-06-30,7.543649196624756
2010-07-01,7.452175140380859
2010-07-02,7.405991077423096
2010-07-05,7.405991077423096
2010-07-06,7.456675052642822
2010-07-07,7.757782936096191
2010-07-08,7.740386486053467
2010-07-09,7.7862749099731445
2010-07-12,7.716393947601318
2010-07-13,7.551746368408203
2010-07-14,7.579636096954346
2010-07-15,7.541249752044678
2010-07-16,7.494762420654297
2010-07-19,7.365200519561768
2010-07-20,7.554442882537842
2010-07-21,7.6249237060546875
2010-07-22,7.768283367156982
2010-07-23,7.795873641967773
2010-07-26,7.776077747344971
2010-07-27,7.9200334548950195
2010-07-28,7.826462268829346
2010-07-29,7.740986347198486
2010-07-30,7.7151947021484375
2010-08-02,7.853156089782715
2010-08-03,7.855553150177002
2010-08-04,7.887044906616211
2010-08-05,7.84865665435791
2010-08-06,7.8003716468811035
2010-08-09,7.850156307220459
2010-08-10,7.779977321624756
2010-08-11,7.503458023071289
2010-08-12,7.551445007324219
2010-08-13,7.47076940536499
2010-08-16,7.426978588104248
2010-08-17,7.556842803955078
2010-08-18,7.589833736419678
2010-08-19,7.494163990020752
2010-08-20,7.486966133117676
2010-08-23,7.371795654296875
2010-08-24,7.195749759674072
2010-08-25,7.284523963928223
2010-08-26,7.206246376037598
2010-08-27,7.246435642242432
2010-08-30,7.272828578948975
2010-08-31,7.290825366973877
2010-09-01,7.507655143737793
2010-09-02,7.562842845916748
2010-09-03,7.7607831954956055
2010-09-06,7.7607831954956055
2010-09-07,7.731991767883301
2010-09-08,7.885247707366943
2010-09-09,7.889741897583008
2010-09-10,7.8999409675598145
2010-09-13,8.008807182312012
2010-09-14,8.039401054382324
2010-09-15,8.104179382324219
2010-09-16,8.2946195602417
2010-09-17,8.258633613586426
