Date,AAPL,MSFT,NVDA
2010-01-04,6.418384075164795,23.17334747314453,0.4238302707672119
2010-01-05,6.429481506347656,23.180830001831055,0.4300192594528198
2010-01-06,6.327209949493408,23.0385684967041,0.4327699542045593
2010-01-07,6.315515041351318,22.79897689819336,0.4242887794971466
2010-01-08,6.3575005531311035,22.956214904785156,0.42520561814308167
2010-01-11,6.301418304443359,22.664207458496094,0.41924580931663513
2010-01-12,6.229739665985107,22.514448165893555,0.4050341546535492
2010-01-13,6.317612648010254,22.724103927612305,0.41053545475006104
2010-01-14,6.2810258865356445,23.180830001831055,0.40411728620529175
2010-01-15,6.17605447769165,23.105960845947266,0.3921978175640106
2010-01-18,6.17605447769165,23.105960845947266,0.3921978175640106
2010-01-19,6.449273109436035,23.285655975341797,0.3995329439640045
2010-01-20,6.350003242492676,22.90380096435547,0.39792826771736145
2010-01-21,6.240234375,22.46953582763672,0.39082247018814087
2010-01-22,5.930729389190674,21.683364868164062,0.3772984445095062
2010-01-25,6.0902814865112305,21.95290756225586,0.3837164342403412
2010-01-26,6.176356792449951,22.08767318725586,0.371567964553833
2010-01-27,6.23453950881958,22.214962005615234,0.38165363669395447
2010-01-28,5.976914405822754,21.833105087280273,0.36881712079048157
2010-01-29,5.760079860687256,21.099348068237305,0.35277172923088074
2010-02-01,5.840156078338623,21.271564483642578,0.37981978058815
2010-02-02,5.874044895172119,21.308996200561523,0.3837164342403412
2010-02-03,5.975114822387695,21.436275482177734,0.38692566752433777
2010-02-04,5.75977897644043,20.844778060913086,0.3644619584083557
2010-02-05,5.8620500564575195,20.97955322265625,0.37179702520370483
2010-02-08,5.82186222076416,20.75493812561035,0.37110936641693115
2010-02-09,5.883944511413574,20.97206687927246,0.3681294620037079
2010-02-10,5.851850986480713,20.957096099853516,0.37523528933525085
2010-02-11,5.958320140838623,21.054426193237305,0.3924269676208496
2010-02-12,6.0096049308776855,20.912174224853516,0.3976990878582001
2010-02-15,6.0096049308776855,20.912174224853516,0.3976990878582001
2010-02-16,6.100177764892578,21.325895309448242,0.4050341546535492
2010-02-17,6.074686527252197,21.506431579589844,0.40893083810806274
2010-02-18,6.086083889007568,21.79227638244629,0.3821120858192444
2010-02-19,6.0482940673828125,21.641836166381836,0.3800489604473114
2010-02-22,6.010805606842041,21.611738204956055,0.38073670864105225
2010-02-23,5.910034656524658,21.310855865478516,0.371567964553833
2010-02-24,6.018003940582275,21.53652000427246,0.37936127185821533
2010-02-25,6.058189392089844,21.513948440551758,0.3759230673313141
2010-02-26,6.136767387390137,21.566614151000977,0.37133851647377014
2010-03-01,6.267827987670898,21.829891204833984,0.3862380385398865
2010-03-02,6.263631343841553,21.408645629882812,0.3860088288784027
2010-03-03,6.278024196624756,21.408645629882812,0.3811951279640198
2010-03-04,6.319412708282471,21.53652000427246,0.3818827271461487
2010-03-05,6.566539287567139,21.506431579589844,0.393573135137558
2010-03-08,6.570437908172607,21.53652000427246,0.3878425359725952
2010-03-09,6.688602924346924,21.664400100708008,0.40228351950645447
2010-03-10,6.743185520172119,21.79227638244629,0.4032003879547119
2010-03-11,6.762980937957764,21.95024299621582,0.39403143525123596
2010-03-12,6.795971870422363,22.017953872680664,0.3954068720340729
2010-03-15,6.713195323944092,22.032997131347656,0.39334386587142944
2010-03-16,6.731490612030029,22.093183517456055,0.4070971608161926
2010-03-17,6.721593379974365,22.28875160217285,0.4148905873298645
2010-03-18,6.737488269805908,22.273714065551758,0.4002205431461334
2010-03-19,6.665510654449463,22.258668899536133,0.3954068720340729
2010-03-22,6.740487575531006,22.266191482543945,0.4018250107765198
2010-03-23,6.848753452301025,22.476816177368164,0.4100770354270935
2010-03-24,6.879044532775879,22.30379295349121,0.39632368087768555
2010-03-25,6.7974700927734375,22.57461166381836,0.39746978878974915
2010-03-26,6.924932479858398,22.311328887939453,0.39746978878974915
2010-03-29,6.969618320465088,22.258668899536133,0.402512788772583
2010-03-30,7.073386192321777,22.394060134887695,0.40411728620529175
2010-03-31,7.04789400100708,22.032997131347656,0.39884504675865173
2010-04-01,7.076988220214844,21.935205459594727,0.3947192132472992
2010-04-02,7.076988220214844,21.935205459594727,0.3947192132472992
2010-04-05,7.152562618255615,22.017953872680664,0.4006789028644562
2010-04-06,7.184054851531982,22.055566787719727,0.39082247018814087
2010-04-07,7.215845584869385,22.078136444091797,0.39334386587142944
2010-04-08,7.196350574493408,22.506906509399414,0.38692566752433777
2010-04-09,7.251532554626465,22.822837829589844,0.38944709300994873
2010-04-12,7.266528606414795,22.807802200317383,0.3965528905391693
2010-04-13,7.270728588104248,22.905593872070312,0.4048050045967102
2010-04-14,7.368500709533691,23.183916091918945,0.4098477065563202
2010-04-15,7.465371608734131,23.22153091430664,0.41282767057418823
2010-04-16,7.4197869300842285,23.071083068847656,0.3910517692565918
2010-04-19,7.409887313842773,23.349411010742188,0.38921794295310974
2010-04-20,7.335510730743408,23.590131759643555,0.3905932605266571
2010-04-21,7.774279594421387,23.56755256652832,0.38050737977027893
2010-04-22,7.991708755493164,23.612689971923828,0.3821120858192444
2010-04-23,8.122472763061523,23.289228439331055,0.37683990597724915
2010-04-26,8.082587242126465,23.402067184448242,0.38050737977027893
2010-04-27,7.8588547706604,23.20648956298828,0.36973416805267334
2010-04-28,7.845655918121338,23.251619338989258,0.37042170763015747
2010-04-29,8.056794166564941,23.31932258605957,0.38165363669395447
2010-04-30,7.830364227294922,22.97328758239746,0.3601067066192627
2010-05-03,7.988112926483154,23.21401023864746,0.35620996356010437
